"filename", "language", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "PostCSS", "XML", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 60, 0, 14, 74
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\eslint.config.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\index.html", "HTML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\package-lock.json", "JSON", 2738, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2739
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\package.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\App.tsx", "TypeScript JSX", 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\assets\Chess_bdt45.svg", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\assets\Chess_blt45.svg", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\assets\Chess_kdt45.svg", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\assets\Chess_klt45.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\assets\Chess_ndt45.svg", "XML", 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 23
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\assets\Chess_nlt45.svg", "XML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\assets\Chess_pdt45.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\assets\Chess_plt45.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\assets\Chess_qdt45.svg", "XML", 0, 0, 0, 0, 0, 26, 0, 0, 0, 2, 28
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\assets\Chess_qlt45.svg", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\assets\Chess_rdt45.svg", "XML", 0, 0, 0, 0, 0, 39, 0, 0, 0, 1, 40
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\assets\Chess_rlt45.svg", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\chessComponents\chessBoard.ts", "TypeScript", 0, 0, 371, 0, 0, 0, 0, 0, 22, 35, 428
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\chessComponents\engine\engine.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\chessComponents\engine\evaluation.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\chessComponents\engine\search.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\chessComponents\precomputedMoves.ts", "TypeScript", 0, 0, 116, 0, 0, 0, 0, 0, 9, 14, 139
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\chessComponents\types.ts", "TypeScript", 0, 0, 71, 0, 0, 0, 0, 0, 0, 5, 76
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\chessComponents\useGameState.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 0, 5, 9, 59
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\components\ChessBoard.tsx", "TypeScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 1, 6, 39
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\components\ChessPlayer.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\components\Clock.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\components\EvalBar.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\components\MoveHistory.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\components\Piece.tsx", "TypeScript JSX", 0, 0, 0, 59, 0, 0, 0, 0, 9, 10, 78
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\components\Square.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 1, 3, 19
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\components\TakenPieces.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\components\components.css", "PostCSS", 0, 0, 0, 0, 85, 0, 0, 0, 16, 16, 117
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\main.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\src\tests\chessLogicTests.ts", "TypeScript", 0, 0, 138, 0, 0, 0, 0, 0, 10, 22, 170
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\tsconfig.app.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\tsconfig.json", "JSON with Comments", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\tsconfig.node.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"c:\Users\admin\OneDrive\VSCodeProjects\chess-bot-react\vite.config.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"Total", "-", 2810, 7, 768, 204, 85, 201, 12, 60, 77, 183, 4407
